,Gun Rate per 100,GunDeathPer100k,HDI,Place,Type
0,8.8,6.93,0.827,Argentina,Country
1,13.7,1.04,0.939,Australia,Country
2,30.4,2.9,0.893,Austria,Country
3,3.5,0.07,0.759,Azerbaijan,Country
4,3.5,6.6,0.795,Barbados,Country
5,7.3,,0.796,Belarus,Country
6,6.86,1.24,0.896,Belgium,Country
7,8.6,21.9,0.754,Brazil,Country
8,12.8,1.73,0.794,Bulgaria,Country
9,25.33,2.05,0.92,Canada,Country
10,10.2,2.4,0.847,Chile,Country
11,6.9,18.65,0.727,Colombia,Country
12,8.6,6.3,0.776,Costa Rica,Country
13,15.0,2.35,0.827,Croatia,Country
14,2.0,0.5,0.775,Cuba,Country
15,36.4,1.87,0.856,Cyprus,Country
16,16.3,2.01,0.878,Czech Republic,Country
17,12.0,1.28,0.925,Denmark,Country
18,5.8,45.6,0.68,El Salvador,Country
19,9.2,2.67,0.865,Estonia,Country
20,27.5,3.25,0.895,Finland,Country
21,14.96,2.83,0.897,France,Country
22,7.3,1.98,0.769,Georgia,Country
23,30.3,1.01,0.926,Germany,Country
24,22.5,1.52,0.866,Greece,Country
25,13.1,34.1,0.64,Guatemala,Country
26,10.57,60.0,0.625,Honduras,Country
27,5.5,0.95,0.836,Hungary,Country
28,30.3,0.07,0.921,Iceland,Country
29,4.2,0.28,0.624,India,Country
30,3.89,0.8,0.923,Ireland,Country
31,7.3,2.09,0.899,Israel,Country
32,11.9,1.31,0.887,Italy,Country
33,8.1,30.72,0.73,Jamaica,Country
34,0.6,0.06,0.903,Japan,Country
35,24.8,0.36,0.8,Kuwait,Country
36,0.9,1.01,0.664,Kyrgyzstan,Country
37,19.0,1.43,0.83,Latvia,Country
38,15.3,1.19,0.898,Luxembourg,Country
39,15.0,7.64,0.762,Mexico,Country
40,23.1,8.91,0.807,Montenegro,Country
41,3.9,0.58,0.924,Netherlands,Country
42,30.0,1.07,0.915,New Zealand,Country
43,7.7,4.68,0.645,Nicaragua,Country
44,31.3,1.75,0.949,Norway,Country
45,21.7,15.11,0.788,Panama,Country
46,17.0,7.76,0.693,Paraguay,Country
47,18.8,5.53,0.74,Peru,Country
48,4.7,8.9,0.682,Philippines,Country
49,1.3,0.26,0.855,Poland,Country
50,8.5,1.58,0.843,Portugal,Country
51,19.2,0.15,0.856,Qatar,Country
52,0.7,0.14,0.802,Romania,Country
53,37.82,3.49,0.776,Serbia,Country
54,0.5,0.14,0.925,Singapore,Country
55,8.3,1.83,0.845,Slovakia,Country
56,13.5,2.64,0.89,Slovenia,Country
57,12.7,8.3,0.666,South Africa,Country
58,10.4,0.62,0.884,Spain,Country
59,6.4,37.16,0.541,Swaziland,Country
60,31.6,1.47,0.913,Sweden,Country
61,24.45,3.01,0.939,Switzerland,Country
62,,1.95,0.767,Turkey,Country
63,6.6,0.24,0.743,Ukraine,Country
64,2.8,0.23,0.91,United Kingdom,Country
65,101.05,11.96,0.92,United States,Country
66,31.8,11.52,0.795,Uruguay,Country
67,4.6,0.39,0.516,Zimbabwe,Country
0,3.31588490644,21.5,,Alabama,State
1,2.13897093114,23.3,,Alaska,State
2,2.56173151831,15.2,,Arizona,State
3,2.65757607732,17.8,,Arkansas,State
4,0.871651932702,7.9,,California,State
5,1.64851901696,14.3,,Colorado,State
6,2.29642627022,4.6,,Connecticut,State
7,0.504397888016,11.0,,Delaware,State
8,6.80546189183,13.8,,District of Columbia,State
9,1.63592001677,12.6,,Florida,State
10,0.182657088212,15.0,,Georgia,State
11,0.550528252138,4.5,,Hawaii,State
12,2.88687510302,14.6,,Idaho,State
13,1.14424884255,11.7,,Illinois,State
14,1.71024617741,15.0,,Indiana,State
15,0.905804760831,9.2,,Iowa,State
16,1.80678948331,13.4,,Kansas,State
17,1.82003951786,17.5,,Kentucky,State
18,2.49407973344,21.3,,Louisiana,State
19,1.15060404654,8.3,,Maine,State
20,1.70366795287,11.9,,Maryland,State
21,0.541588633753,3.4,,Massachusetts,State
22,0.659907123959,12.3,,Michigan,State
23,1.42213740759,7.6,,Minnesota,State
24,1.1894373513,19.9,,Mississippi,State
25,1.19400699955,19.0,,Missouri,State
26,2.10691551491,18.9,,Montana,State
27,1.15797499682,9.1,,Nebraska,State
28,2.56460973323,16.8,,Nevada,State
29,4.77623166604,9.3,,New Hampshire,State
30,0.638566214698,5.5,,New Jersey,State
31,4.67321497843,18.1,,New Mexico,State
32,0.38392598184,4.4,,New York,State
33,1.48186304871,13.7,,North Carolina,State
34,1.75696624141,11.9,,North Dakota,State
35,1.48735582435,12.9,,Ohio,State
36,1.81306196297,19.6,,Oklahoma,State
37,1.48168764133,11.9,,Oregon,State
38,1.84589681792,12.0,,Pennsylvania,State
39,0.398531952863,4.1,,Rhode Island,State
40,2.10177636237,17.7,,South Carolina,State
41,2.42966840143,13.4,,South Dakota,State
42,1.47646271939,17.1,,Tennessee,State
43,2.0798601047,12.1,,Texas,State
44,2.34880472288,12.9,,Utah,State
45,0.941543188002,11.1,,Vermont,State
46,3.63425352006,12.1,,Virginia,State
47,1.24005113329,9.0,,Washington,State
48,1.94200314232,17.5,,West Virginia,State
49,1.11945803309,11.4,,Wisconsin,State
50,22.9246610221,17.4,,Wyoming,State
